Ticker
ADRO
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BMRI
BRPT
BUKA
CPIN
EMTK
ESSA
GOTO
HRUM
INCO
INDF
ITMG
KLBF
MDKA
MEDC
PGAS
PTBA
SMGR
TBIG
TLKM
TOWR
UNTR
UNVR
