,Ticker,name,logo
67,ASSA,Adi Sarana Armada Tbk,https://s3.goapi.id/logo/ASSA.jpg
68,ATAP,PT Trimitra Prawara Goldland Tbk ,https://s3.goapi.id/logo/ATAP.jpg
69,ATIC,PT Anabatic Technologies Tbk,https://s3.goapi.id/logo/ATIC.jpg
70,AUTO,Astra Otoparts Tbk,https://s3.goapi.id/logo/AUTO.jpg
71,AVIA,PT Avia Avian Tbk,https://s3.goapi.id/logo/AVIA.jpg
72,AXIO,PT Tera Data Indonusa Tbk,https://s3.goapi.id/logo/AXIO.jpg
73,AYLS,PT Agro Yasa Lestari Tbk,https://s3.goapi.id/logo/AYLS.jpg
74,BABP,PT Bank MNC Internasional Tbk.,https://s3.goapi.id/logo/BABP.jpg
75,BACA,PT Bank Capital Indonesia Tbk,https://s3.goapi.id/logo/BACA.jpg
76,BAJA,Saranacentral Bajatama Tbk,https://s3.goapi.id/logo/BAJA.jpg
77,BALI,PT Bali Towerindo Sentra Tbk. ,https://s3.goapi.id/logo/BALI.jpg
78,BANK,PT Bank Aladin Syariah Tbk,https://s3.goapi.id/logo/BANK.jpg
79,BAPA,Bekasi Asri Pemula Tbk,https://s3.goapi.id/logo/BAPA.jpg
80,BAPI,PT Bhakti Agung Propertindo Tbk.,https://s3.goapi.id/logo/BAPI.jpg
81,BATA,Sepatu Bata Tbk,https://s3.goapi.id/logo/BATA.jpg
82,BAUT,PT Mitra Angkasa Sejahtera Tbk,https://s3.goapi.id/logo/BAUT.jpg
83,BAYU,Bayu Buana Tbk,https://s3.goapi.id/logo/BAYU.jpg
84,BBCA,PT Bank Central Asia Tbk.,https://s3.goapi.id/logo/BBCA.jpg
85,BBHI,PT Allo Bank Indonesia Tbk,https://s3.goapi.id/logo/BBHI.jpg
86,BBKP,PT Bank KB Bukopin Tbk,https://s3.goapi.id/logo/BBKP.jpg
87,BBLD,Buana Finance Tbk,https://s3.goapi.id/logo/BBLD.jpg
88,BBMD,PT Bank Mestika Dharma Tbk.,https://s3.goapi.id/logo/BBMD.jpg
89,BBNI,PT Bank Negara Indonesia (Persero) Tbk,https://s3.goapi.id/logo/BBNI.jpg
90,BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,https://s3.goapi.id/logo/BBRI.jpg
91,BBRM,Pelayaran Nasional Bina Buana Raya Tbk,https://s3.goapi.id/logo/BBRM.jpg
92,BBSI,PT Bank Bisnis Internasional Tbk.,https://s3.goapi.id/logo/BBSI.jpg
93,BBSS,PT Bumi Benowo Sukses Sejahtera Tbk,https://s3.goapi.id/logo/BBSS.jpg
94,BBTN,PT Bank Tabungan Negara (Persero) Tbk,https://s3.goapi.id/logo/BBTN.jpg
95,BBYB,PT Bank Neo Commerce Tbk.,https://s3.goapi.id/logo/BBYB.jpg
96,BCAP,MNC Kapital Indonesia Tbk,https://s3.goapi.id/logo/BCAP.jpg
97,BCIC,PT Bank JTrust Indonesia Tbk. ,https://s3.goapi.id/logo/BCIC.jpg
98,BCIP,Bumi Citra Permai Tbk,https://s3.goapi.id/logo/BCIP.jpg
