Ticker
AALI
ABMM
ACES
ADHI
ADMR
ADRO
AGII
AGRO
AKRA
AMRT
ANTM
APIC
ARTO
ASII
ASSA
AVIA
BABP
BBCA
BBHI
BBKP
BBNI
BBRI
BBTN
BFIN
BMRI
BMTR
BRIS
BRMS
BRPT
BSDE
BSSR
BTPS
BUKA
CPIN
CTRA
DOID
DSNG
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
GGRM
GOTO
HEAL
HMSP
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
IPPE
ISAT
ITMG
JPFA
JSMR
KLBF
LPPF
LSIP
MAPI
MDKA
MEDC
MIKA
MLPL
MNCN
MPMX
MTEL
MTMH
MYOR
PGAS
PNBN
PNLF
PTBA
PTPP
PWON
RAJA
RMKE
SCMA
SGER
SIDO
SMDR
SMGR
SMRA
SRTG
TAPG
TBIG
TINS
TKIM
TLKM
TOBA
TOWR
TPIA
UNTR
UNVR
WIFI
WIKA
WSKT
