Ticker
ADRO
AKRA
AMRT
ANTM
ASII
BBCA
BBNI
BBRI
BFIN
BMRI
BNGA
BRIS
BSDE
BTPS
CTRA
ESSA
HMSP
HRUM
ICBP
INCO
INDF
INKP
INTP
ITMG
KLBF
MAPI
MDKA
MNCN
MYOR
PTBA
PWON
SILO
SRTG
TBIG
TLKM
UNTR
