Ticker
ACES
ADRO
AKRA
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRIS
BRPT
BUKA
CPIN
EMTK
ESSA
EXCL
GOTO
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
ITMG
JPFA
KLBF
MDKA
MEDC
PGAS
PTBA
SCMA
SIDO
SMGR
SRTG
TBIG
TINS
TLKM
TOWR
TPIA
UNTR
UNVR
