Ticker
AALI
ACES
ADMR
ADRO
AKRA
AMRT
ANTM
ARTO
ASII
ASSA
AVIA
BBCA
BBNI
BBRI
BBTN
BFIN
BMRI
BMTR
BRIS
BRMS
BRPT
BSDE
BUKA
CPIN
CTRA
DOID
ELSA
EMTK
ENRG
ERAA
ESSA
EXCL
GGRM
GOTO
HEAL
HMSP
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
ISAT
ITMG
JPFA
JSMR
KLBF
LSIP
MAPI
MDKA
MEDC
MIKA
MNCN
MPMX
MTEL
MYOR
PGAS
PNLF
PTBA
PTPP
PWON
RMKE
SCMA
SIDO
SMDR
SMGR
SMRA
SRTG
TAPG
TBIG
TINS
TKIM
TLKM
TOWR
TPIA
UNTR
UNVR
WIKA
WSKT
