Ticker
ADRO
AKRA
AMRT
ANTM
ASII
BBCA
BBNI
BBRI
BFIN
BMRI
ICBP
INCO
INKP
INTP
ITMG
JSMR
KLBF
MAPI
MDKA
MIKA
MTEL
PGAS
SMGR
TBIG
TLKM
UNTR
UNVR
