,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
333,IATA.JK,308,77,0.7402597402597403,99,209,[-0.09252658 -0.10239124  0.11921706 -0.09328027  0.00747758  0.28990057],-0.7501395031913896
334,IBFN.JK,742,185,0.6756756756756757,184,558,"[-2.61461140e-01 -7.92123914e-04  1.56825310e-02  4.30369571e-02
 -9.13485196e-03 -1.02463222e+00]",-1.109280764262918
335,IBOS.JK,179,44,0.5454545454545454,65,114,[ 0.06456843  0.01358229  0.1774436  -0.19494559 -0.07416965  0.13304537],-0.5638408432678295
336,IBST.JK,738,184,0.782608695652174,100,638,[ 0.30892365  0.01250659 -0.02012338  0.12439954 -0.01160802  0.00589189],-1.8749755557955459
337,ICBP.JK,967,241,0.5477178423236515,421,546,[-0.13052057 -0.01272166 -0.00477753  0.0498632  -0.00195823 -1.18480373],-0.26069520052219936
338,ICON.JK,967,241,0.7593360995850622,305,662,"[-3.53200788e-01  9.37978395e-03 -4.71281822e-02 -1.79851484e-02
 -5.27454377e-04 -3.03540386e+00]",-0.7919367809432353
339,IDEA.JK,304,75,0.6133333333333333,103,201,[-0.04255991 -0.0045312   0.0067846   0.05435674 -0.0467905   0.0055636 ],-0.6614249908940676
340,IDPR.JK,967,241,0.6182572614107884,270,697,[-0.02289782 -0.00237618  0.0046667  -0.10985916  0.0038978  -0.91049015],-0.951124354291428
341,IFII.JK,641,160,0.575,239,402,[-0.06693812  0.04229424  0.00463611  0.03408502  0.02173543 -0.96990267],-0.5225612429307043
342,IFSH.JK,644,160,0.6625,202,442,"[ 8.72321044e-02 -3.18775322e-02 -1.06936945e-01  4.26473057e-04
 -4.64643205e-02 -9.27418901e-01]",-0.7928723169560569
343,IGAR.JK,967,241,0.6556016597510373,365,602,"[-1.11662235e-01  7.44150806e-03  1.92050345e-03 -9.68438580e-04
  2.55818841e-03 -2.22613507e+00]",-0.49225602398818075
344,IIKP.JK,247,61,0.8852459016393442,90,157,[ 0.05492633  0.00819925  0.04591466  0.46250409 -0.06079516  0.03867363],-0.5935620977594387
345,IKAI.JK,379,94,0.8404255319148937,109,270,[ 0.08451994  0.04951432  0.02047503  0.0109585  -0.01055408 -0.27379902],-0.9205014480646393
346,IKAN.JK,607,151,0.7284768211920529,193,414,[ 0.20531151  0.02702045  0.04548886  0.04459195 -0.0266549  -0.16627516],-0.7777695690437048
347,IKBI.JK,967,241,0.6556016597510373,268,699,"[-2.28461596e-01 -8.76656035e-02 -2.27844969e-04  2.23815690e-03
  3.98618902e-03 -2.27141768e+00]",-0.9672475350083672
348,IMAS.JK,967,241,0.5228215767634855,359,608,[-0.00593558  0.00051019  0.01021227 -0.03812064 -0.00741936  0.18208041],-0.5279342137491911
349,IMJS.JK,967,241,0.5892116182572614,325,642,[-0.08894198 -0.0035687  -0.00574883 -0.00778956 -0.02408833 -0.11241414],-0.6813092209889998
350,IMPC.JK,967,241,0.6431535269709544,374,593,[ 0.01269714 -0.01185673 -0.07186952 -0.03213635 -0.00216754  0.07424797],-0.4583990749871905
351,INAF.JK,967,241,0.7012448132780082,350,617,[0.31670523 0.00903474 0.00984338 0.14616998 0.00955242 0.52589534],-0.5729245224628636
352,INAI.JK,965,241,0.7302904564315352,341,624,"[-2.17878982e-01  1.05989893e-05 -1.06892346e-02  3.96295316e-02
  4.15388625e-03 -3.22664962e+00]",-0.5994468713979177
353,INCF.JK,828,207,0.7729468599033816,249,579,[ 0.6560139   0.01813941 -0.06185131  0.21563926  0.04132497 -1.15031086],-0.8621035138451115
354,INCI.JK,967,241,0.6431535269709544,347,620,[-0.30504302 -0.04986188  0.03955539 -0.02597055 -0.00183118 -1.81592618],-0.5695190140863226
355,INCO.JK,967,241,0.5726141078838174,410,557,[-0.00238559  0.02630299 -0.01764624 -0.02963206 -0.01078936  0.62984518],-0.3066820388351655
356,INDF.JK,967,241,0.5767634854771784,417,550,[-0.04058136  0.00141366  0.00583233  0.00775438  0.00127148  0.0917135 ],-0.2763441453516518
357,INDO.JK,625,156,0.6346153846153846,243,382,[ 0.03964026  0.09674703 -0.00460521  0.00951729  0.00109411 -0.38491891],-0.46086590414501916
358,INDR.JK,967,241,0.6307053941908713,368,599,[-0.00422607  0.12311795 -0.01828275 -0.02868384 -0.02200515 -0.0768974 ],-0.4802938172546073
359,INDS.JK,967,241,0.5975103734439834,344,623,"[-6.12225563e-02 -1.70037600e-05 -4.10822416e-04 -8.32119901e-02
 -5.05632591e-04 -1.60247202e+00]",-0.5934945920305081
360,INDX.JK,956,238,0.6890756302521008,283,673,"[-7.28650145e-03  2.12334776e-02  8.02219344e-04 -1.18026372e-02
 -2.36232561e-02 -1.42592675e+00]",-0.8728954770449062
361,INDY.JK,967,241,0.5269709543568465,405,562,[-0.07272017 -0.03389936 -0.02525368 -0.00298449  0.02593205  0.03325118],-0.33272083833297567
362,INKP.JK,967,241,0.6058091286307054,396,571,"[-6.51934796e-02  6.79858899e-02 -3.28227980e-02  5.42868821e-02
 -2.31671448e-04 -3.30577136e-01]",-0.3599515649277486
363,INOV.JK,728,182,0.6538461538461539,277,451,[-0.17473177  0.01177725  0.08869203 -0.0069531   0.01079817 -1.34994462],-0.4846237300789077
364,INPC.JK,953,238,0.7394957983193278,249,704,"[-1.28579149e-01  1.63963755e-02  4.72993190e-03  1.05596579e-01
 -4.59387740e-04 -1.37529383e+00]",-1.0368813961181496
365,INPP.JK,962,240,0.6958333333333333,210,752,[-0.52499312 -0.01809021  0.01003204 -0.01747418  0.00267867 -1.71384422],-1.2748448651068196
366,INPS.JK,967,241,0.7510373443983402,266,701,[ 0.68296235 -0.03025799  0.02665884  0.10887265  0.00448933 -0.42471576],-0.9599857191709843
367,INRU.JK,967,241,0.6597510373443983,206,761,[-0.11395986  0.09740884 -0.01657084 -0.02145154  0.00202415 -0.11548824],-1.3106596959536128
368,INTA.JK,814,203,0.6995073891625616,207,607,[-0.1556592   0.00455658  0.11043383 -0.0372802  -0.00300642 -1.37178326],-1.0795245148799957
369,INTD.JK,967,241,0.6929460580912863,298,669,[-0.05092888 -0.02340856 -0.00706836 -0.00129649  0.00748208 -0.68086653],-0.8116381967477274
370,INTP.JK,967,241,0.5518672199170125,428,539,"[-4.44156109e-02 -1.66634023e-02  1.43724588e-02  8.01639293e-02
 -1.09804257e-04 -6.37123546e-01]",-0.22382826679569418
371,IPAC.JK,342,85,0.6588235294117647,114,228,[ 0.1957087  -0.04927517 -0.02932816 -0.00220654  0.00294941 -0.81521598],-0.7069138073560381
